Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,6/11/2023 17:35,FALSE,San Mateo Walking,0.61,48,0:10:38,118,135,111,134,17:22,14:40,30,23,0.83,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:38.4,1,0,--,--,--,--,--,0:10:04,0:10:38,15,47
Walking,6/10/2023 15:20,FALSE,Burlingame Walking,0.86,63,0:16:26,117,131,68,138,19:10,13:49,--,7,1.23,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:26.4,1,0,--,--,--,--,--,0:15:31,0:16:26,21,33
Walking,6/10/2023 11:30,FALSE,Palo Alto Walking,1.01,84,0:24:15,114,129,71,136,24:06:00,16:04,13,7,0.94,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:05.0,2,0,--,--,--,--,--,0:19:20,0:24:15,63,83
Walking,6/10/2023 10:40,FALSE,San Mateo Walking,1,87,0:18:28,133,143,103,145,18:24,14:54,7,7,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:02.8,2,0,--,--,--,--,--,0:16:56,0:18:28,14,31
Walking,6/8/2023 9:59,FALSE,Burlingame Walking,0.88,81,0:16:04,135,147,92,145,18:16,12:20,--,13,0.96,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:03.6,1,0,--,--,--,--,--,0:15:45,0:16:04,16,33
Walking,6/8/2023 8:39,FALSE,San Mateo Walking,0.81,60,0:14:30,123,138,80,133,17:54,15:58,7,--,1.13,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,14:29.8,1,0,--,--,--,--,--,0:14:30,0:14:30,18,31
Walking,6/7/2023 16:38,FALSE,Burlingame Walking,0.96,68,0:17:05,107,128,66,169,17:44,15:22,--,13,1.37,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,17:04.6,1,0,--,--,--,--,--,0:16:47,0:17:05,17,37
Walking,6/7/2023 15:15,FALSE,San Mateo Walking,0.97,73,0:16:33,130,140,38,248,17:09,10:56,23,13,2.5,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:32.8,1,0,--,--,--,--,--,0:16:19,0:16:33,18,42
Cardio,6/5/2023 20:43,FALSE,Cardio,0,226,0:32:36,149,190,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,32:36.1,1,0,--,--,--,--,--,0:00:00,0:32:36,64,64
Walking,6/5/2023 19:37,FALSE,San Mateo Walking,2.05,144,0:36:03,115,130,120,244,17:36,11:16,23,20,0.76,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:02.4,3,0,--,--,--,--,--,0:36:03,0:36:03,10,35
Cardio,6/4/2023 21:09,FALSE,Cardio,0,139,0:20:40,145,172,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,20:40.5,1,0,--,--,--,--,--,0:00:00,0:20:40,51,51
Walking,6/4/2023 20:03,FALSE,San Mateo Walking,2.06,143,0:36:11,123,134,109,138,17:35,12:57,20,26,0.84,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:11.7,3,0,--,--,--,--,--,0:36:05,0:36:11,1,25
Cardio,6/3/2023 22:49,FALSE,Cardio,0,178,0:25:34,150,179,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,25:34.1,1,0,--,--,--,--,--,0:00:00,0:25:34,60,60
Walking,6/3/2023 10:50,FALSE,San Mateo Walking,0.72,111,0:33:38,108,126,44,160,46:44:00,15:22,26,13,0.79,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,33:37.7,1,0,--,--,--,--,--,0:13:23,0:33:38,16,37
Walking,6/3/2023 9:41,FALSE,San Mateo Walking,1.19,94,0:23:10,127,139,80,234,19:32,14:22,13,--,1.03,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,03:46.4,2,0,--,--,--,--,--,0:21:17,0:23:10,20,43
Walking,6/2/2023 19:15,FALSE,San Mateo Walking,1.67,134,0:31:02,122,140,92,136,18:36,13:04,66,59,0.95,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,12:26.5,2,0,--,--,--,--,--,0:27:51,0:31:02,13,48
Pilates,6/1/2023 23:21,FALSE,Pilates,0,38,0:10:14,109,132,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,6,1,0:00,0,0:00,No,10:13.6,1,0,-60,60,0,32,93,0:10:14,0:10:14,--,--
Pilates,6/1/2023 22:48,FALSE,Pilates,0,32,0:10:16,102,138,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,4,1,0:00,0,0:00,No,10:16.2,1,0,-89,89,0,57,92,0:10:16,0:10:16,--,--
Walking,6/1/2023 17:03,FALSE,Burlingame Walking,0.87,62,0:17:21,115,127,101,135,20:04,14:40,7,13,0.8,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,17:21.4,1,0,--,--,--,--,--,0:16:25,0:17:21,16,31
Walking,6/1/2023 13:12,FALSE,San Mateo Walking,1.08,81,0:20:01,106,121,91,248,18:36,8:52,20,13,0.95,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:31.6,2,0,--,--,--,--,--,0:18:58,0:20:01,16,35
Pilates,5/31/2023 23:32,FALSE,Pilates,0,56,0:21:58,101,117,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,4,1,0:00,0,0:00,No,21:57.9,1,0,24,0,24,58,93,0:21:58,0:21:58,--,--
Walking,5/31/2023 15:27,FALSE,San Mateo Walking,1.2,109,0:21:10,138,158,64,243,17:42,10:32,36,46,1.45,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,03:42.8,2,0,--,--,--,--,--,0:19:50,0:21:10,4,36
Walking,5/31/2023 10:39,FALSE,San Mateo Walking,1.25,116,0:23:50,135,163,93,248,19:00,11:03,75,36,0.93,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:41.8,2,0,--,--,--,--,--,0:21:15,0:23:50,10,70
Cardio,5/30/2023 22:48,FALSE,Cardio,0,51,08:34.3,131,148,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,08:34.3,1,0,--,--,--,--,--,0:00:00,08:34.3,64,64
Walking,5/30/2023 19:27,FALSE,San Mateo Walking,1.57,112,0:27:29,117,132,116,138,17:27,14:45,13,13,0.79,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:24.0,2,0,--,--,--,--,--,0:27:11,0:27:29,9,31
Pilates,5/28/2023 23:29,FALSE,Pilates,0,117,0:30:07,118,157,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,8,1,0:00,0,0:00,No,30:07.4,1,0,0,0,0,74,--,0:30:07,0:30:07,--,--
Walking,5/28/2023 18:48,FALSE,San Mateo Walking,1.94,131,0:39:11,108,122,63,135,20:12,17:06,23,26,1.26,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,18:48.9,2,0,--,--,--,--,--,0:39:05,0:39:11,7,30
Cardio,5/27/2023 21:36,FALSE,Cardio,0,214,0:31:01,147,176,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,31:01.3,1,0,--,--,--,--,--,0:00:00,0:31:01,23,23
Pilates,5/27/2023 21:22,FALSE,Pilates,0,39,0:11:18,109,122,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,4,1,0:00,0,0:00,No,11:18.2,1,0,0,0,0,38,97,0:11:18,0:11:18,--,--
Strength Training,5/26/2023 22:55,FALSE,Strength,0,99,0:20:24,130,154,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,252,18,0:00,0,0:00,No,20:23.7,1,0,--,--,--,--,--,0:15:12,0:20:24,--,--
Walking,5/26/2023 16:30,FALSE,Burlingame Walking,1.28,95,0:24:41,120,138,72,231,19:15,4:24,--,13,1.16,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:55.3,2,0,--,--,--,--,--,0:23:28,0:24:41,16,36
Walking,5/26/2023 15:22,FALSE,San Mateo Walking,1.17,86,0:21:48,127,137,59,137,18:40,15:37,20,7,1.48,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,03:08.7,2,0,--,--,--,--,--,0:21:19,0:21:48,16,41
Pilates,5/25/2023 22:17,FALSE,Pilates,0,96,0:22:53,117,150,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,16,1,0:00,0,0:00,No,22:52.8,1,0,-33,33,0,23,99,0:22:53,0:22:53,--,--
Walking,5/25/2023 17:33,FALSE,Burlingame Walking,0.87,63,0:15:48,123,134,109,142,18:07,14:14,--,7,0.82,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,15:48.0,1,0,--,--,--,--,--,0:15:26,0:15:48,23,31
Walking,5/22/2023 14:37,FALSE,Burlingame Walking,1.2,86,0:23:30,120,134,106,236,19:34,1:54,95,7,0.79,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,04:25.1,2,0,--,--,--,--,--,0:22:18,0:23:30,119,133
Walking,5/22/2023 13:43,FALSE,San Mateo Walking,1.29,96,0:23:24,118,129,100,138,18:09,5:07,20,--,0.89,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:31.4,2,0,--,--,--,--,--,0:22:28,0:23:24,20,45
Walking,5/21/2023 19:54,FALSE,San Mateo Walking,1.02,77,0:21:21,120,149,89,217,20:58,8:46,13,7,0.87,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:30.4,2,0,--,--,--,--,--,0:20:45,0:21:21,17,33
Running,5/21/2023 19:45,FALSE,San Mateo Running,1.02,63,08:38.9,151,163,177,182,8:30,7:08,7,13,1.07,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:08.8,2,0,--,--,--,--,--,08:38.1,08:38.9,11,31
Walking,5/20/2023 14:38,FALSE,San Mateo Walking,0.52,49,0:10:40,133,192,90,234,20:27,5:35,7,--,0.88,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:39.9,1,0,--,--,--,--,--,0:10:12,0:10:40,16,32
Running,5/20/2023 14:28,FALSE,San Mateo Running,1.01,81,09:12.4,178,198,174,180,9:09,8:19,7,13,1.01,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:03.4,2,0,--,--,--,--,--,0:09:12,09:12.4,12,31
Cardio,5/20/2023 13:27,FALSE,Cardio,0,378,0:48:09,166,191,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,48:09.2,1,0,--,--,--,--,--,0:00:00,0:48:09,60,60
Walking,5/19/2023 11:40,FALSE,San Mateo Walking,1.15,90,0:20:56,130,151,115,136,18:16,16:04,13,39,0.77,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:42.5,2,0,--,--,--,--,--,0:20:28,0:20:56,-10,9
Walking,5/19/2023 10:47,FALSE,San Mateo Walking,1.71,130,0:30:32,130,138,115,141,17:54,12:30,33,16,0.78,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:33.2,2,0,--,--,--,--,--,0:29:38,0:30:32,10,47
Walking,5/18/2023 17:01,FALSE,Burlingame Walking,0.84,66,0:14:54,130,143,87,157,17:42,12:47,7,7,1.04,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,14:53.7,1,0,--,--,--,--,--,0:14:32,0:14:54,23,34
Walking,5/18/2023 13:18,FALSE,San Mateo Walking,1,78,0:17:08,127,168,99,182,17:06,8:03,13,13,0.95,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:05.4,2,0,--,--,--,--,--,0:16:19,0:17:08,11,31
Walking,5/16/2023 16:38,FALSE,Burlingame Walking,0.87,64,0:16:26,124,133,101,138,18:56,16:20,7,13,0.84,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:25.8,1,0,--,--,--,--,--,0:15:57,0:16:26,14,31
Walking,5/16/2023 15:46,FALSE,San Francisco Walking,0.83,76,0:16:50,129,141,86,136,20:22,2:56,10,23,0.92,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:49.8,1,0,--,--,--,--,--,0:13:07,0:16:50,68,88
Walking,5/16/2023 11:40,FALSE,San Francisco Walking,1.12,89,0:19:49,127,142,110,136,17:37,13:08,194,30,0.83,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:13.5,2,0,--,--,--,--,--,0:18:44,0:19:49,151,209
Walking,5/16/2023 10:35,FALSE,San Mateo Walking,0.89,69,0:15:20,127,143,116,140,17:14,11:50,--,--,0.81,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,15:20.5,1,0,--,--,--,--,--,0:15:07,0:15:20,21,32
Strength Training,5/15/2023 19:40,FALSE,Strength,0,87,0:18:02,130,147,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,212,11,0:00,0,0:00,No,18:02.5,1,0,--,--,--,--,--,0:15:49,0:18:02,--,--
Cardio,5/15/2023 17:32,FALSE,Cardio,0,159,0:20:18,162,192,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,20:17.9,1,0,--,--,--,--,--,0:00:00,0:20:18,60,60
Walking,5/15/2023 16:49,FALSE,San Mateo Walking,0.72,63,0:12:19,139,194,109,131,17:01,15:08,13,7,0.87,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,12:19.0,1,0,--,--,--,--,--,0:12:09,0:12:19,12,30
Running,5/15/2023 16:39,FALSE,San Mateo Running,1.07,83,09:32.8,176,195,174,180,8:54,7:32,13,--,1.04,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:33.9,2,0,--,--,--,--,--,0:09:28,09:32.8,7,33
Walking,5/14/2023 9:16,FALSE,Burlingame Walking,1.38,123,0:34:05,117,140,78,136,24:43:00,7:37,--,20,0.84,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,08:01.3,2,0,--,--,--,--,--,0:25:53,0:34:05,18,41
Walking,5/14/2023 8:35,FALSE,San Mateo Walking,1.35,99,0:24:59,118,132,103,171,18:29,14:06,13,--,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,06:48.1,2,0,--,--,--,--,--,0:23:59,0:24:59,22,47
Walking,5/13/2023 17:26,FALSE,Burlingame Walking,1.51,173,0:28:53,147,199,99,175,19:07,11:50,36,30,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:41.3,2,0,--,--,--,--,--,0:26:32,0:28:53,5,42
Running,5/13/2023 17:16,FALSE,San Mateo Running,1.03,93,09:42.8,189,201,173,180,9:25,8:44,16,16,0.99,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:15.7,2,0,--,--,--,--,--,09:36.7,09:42.8,5,22
Walking,5/13/2023 17:04,FALSE,San Mateo Walking,0.6,56,0:11:38,131,151,101,181,19:19,6:49,30,36,0.83,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,11:38.0,1,0,--,--,--,--,--,0:10:23,0:11:38,8,43
Cardio,5/13/2023 16:04,FALSE,Cardio,0,174,0:33:12,134,171,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,33:12.0,1,0,--,--,--,--,--,0:00:00,0:33:12,64,64
Walking,5/12/2023 11:48,FALSE,San Mateo Walking,1.61,118,0:29:02,126,141,103,227,18:01,13:37,7,13,0.87,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:50.9,2,0,--,--,--,--,--,0:27:46,0:29:02,21,41
Walking,5/12/2023 11:09,FALSE,San Mateo Walking,1.45,121,0:29:30,124,137,84,149,20:22,10:23,20,7,0.97,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,11:28.5,2,0,--,--,--,--,--,0:25:15,0:29:30,13,41
Walking,5/11/2023 17:36,FALSE,Burlingame Walking,0.9,117,0:18:41,141,173,110,240,20:49,17:38,30,7,0.71,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,18:40.8,1,0,--,--,--,--,--,0:17:53,0:18:41,24,66
Walking,5/11/2023 10:48,FALSE,San Mateo Walking,1.43,113,0:25:56,130,154,107,136,18:07,15:12,33,13,0.83,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,08:16.9,2,0,--,--,--,--,--,0:24:30,0:25:56,10,51
Cardio,5/10/2023 21:11,FALSE,Cardio,0,213,0:40:22,138,173,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,40:22.0,1,0,--,--,--,--,--,0:00:00,0:40:22,58,58
Walking,5/10/2023 11:25,FALSE,Burlingame Walking,1.03,74,0:19:19,111,126,109,141,18:41,16:20,--,13,0.81,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:42.4,2,0,--,--,--,--,--,0:18:41,0:19:19,17,34
Walking,5/10/2023 10:48,FALSE,San Mateo Walking,1,73,0:17:58,94,116,103,145,17:56,15:32,7,7,0.87,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:04.6,2,0,--,--,--,--,--,0:17:23,0:17:58,17,32
Walking,5/4/2023 17:32,FALSE,Burlingame Walking,0.88,70,0:15:51,130,143,107,250,18:03,15:42,--,7,0.83,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,15:50.6,1,0,--,--,--,--,--,0:15:22,0:15:51,19,31
Walking,5/4/2023 12:24,FALSE,San Mateo Walking,0.27,30,04:23.8,149,173,109,180,16:32,8:51,--,16,0.9,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,04:23.8,1,0,--,--,--,--,--,0:03:36,04:23.8,10,28
Walking,4/27/2023 17:20,FALSE,San Mateo Walking,1.08,112,0:19:51,140,151,54,131,18:22,14:01,7,13,1.67,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:29.7,2,0,--,--,--,--,--,0:19:12,0:19:51,12,30
Walking,4/27/2023 10:31,FALSE,San Mateo Walking,1.93,187,0:30:33,145,179,82,243,15:51,9:20,36,20,1.24,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:39.5,2,0,--,--,--,--,--,0:29:24,0:30:33,-22,16
Walking,4/20/2023 17:18,FALSE,San Mateo Walking,1.07,80,0:21:14,116,133,97,125,19:54,15:42,13,16,0.84,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:23.8,2,0,--,--,--,--,--,0:20:01,0:21:14,15,35
Walking,4/20/2023 8:34,FALSE,San Mateo Walking,1.09,104,0:18:15,138,157,92,138,16:47,12:50,7,13,1.05,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:35.8,2,0,--,--,--,--,--,0:17:55,0:18:15,9,28
Walking,4/13/2023 17:33,FALSE,Burlingame Walking,0.87,64,0:15:58,118,135,94,141,18:25,15:48,--,--,0.93,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,15:57.6,1,0,--,--,--,--,--,0:15:35,0:15:58,26,38
Walking,4/13/2023 8:24,FALSE,San Mateo Walking,0.8,68,0:12:21,133,173,121,207,15:30,6:37,--,--,0.86,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,12:21.5,1,0,--,--,--,--,--,0:11:08,0:12:21,26,33
Walking,4/7/2023 15:15,FALSE,San Mateo Walking,0.53,39,09:31.1,124,135,99,135,18:04,14:06,52,7,0.9,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,09:31.1,1,0,--,--,--,--,--,0:09:15,09:31.1,14,31
Walking,4/6/2023 17:34,FALSE,Burlingame Walking,0.76,56,0:14:21,115,126,113,140,18:49,15:58,--,7,0.75,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,14:21.1,1,0,--,--,--,--,--,0:13:41,0:14:21,18,31
Walking,4/6/2023 9:19,FALSE,San Mateo Walking,1.06,108,0:17:54,136,156,121,142,16:52,13:30,7,13,0.79,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:04.1,2,0,--,--,--,--,--,0:17:21,0:17:54,11,30
Walking,4/5/2023 11:48,FALSE,Burlingame Walking,0.98,77,0:16:32,131,148,112,172,16:55,10:09,7,7,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:31.5,1,0,--,--,--,--,--,0:16:19,0:16:32,28,41
Walking,4/5/2023 11:15,FALSE,San Mateo Walking,0.98,82,0:17:35,131,144,35,145,17:55,8:43,--,--,2.56,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,17:35.1,1,0,--,--,--,--,--,0:16:46,0:17:35,20,30
Treadmill Running,3/31/2023 19:47,FALSE,Treadmill Running,1.3,104,0:12:47,165,182,166,179,9:51,8:32,--,--,0.98,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:44.6,2,0,--,--,--,--,--,0:12:29,0:13:38,--,--
Walking,3/31/2023 19:29,FALSE,Walking,0.37,67,0:16:39,115,136,80,244,45:14:00,8:56,--,--,0.45,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:38.8,1,0,--,--,--,--,--,0:11:27,0:16:39,--,--
Walking,3/29/2023 23:03,FALSE,Comal County Walking,1.3,128,0:41:22,97,106,74,120,31:49:00,8:06,--,--,0.69,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,08:26.1,2,0,--,--,--,--,--,0:31:51,0:41:22,"1,005","1,012"
Treadmill Running,3/28/2023 21:53,FALSE,Treadmill Running,1.04,69,09:32.5,153,186,174,180,9:08,8:06,--,--,1.02,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,00:24.9,2,0,--,--,--,--,--,09:22.9,09:32.5,--,--
Walking,3/28/2023 11:45,FALSE,Walking,0.4,66,0:25:21,96,107,43,110,--,19:25,--,--,0.59,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,25:21.4,1,0,--,--,--,--,--,0:11:22,0:25:21,987,996
Walking,3/26/2023 18:11,FALSE,Denver Walking,1.04,96,0:20:03,132,147,50,154,19:11,13:15,49,49,1.66,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:48.4,2,0,--,--,--,--,--,0:16:02,0:20:03,"5,227","5,285"
Walking,3/26/2023 15:50,FALSE,Denver Walking,0.68,63,0:14:14,122,144,91,145,20:53,2:48,75,--,0.85,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,14:13.9,1,0,--,--,--,--,--,0:11:02,0:14:14,"5,225","5,305"
Walking,3/26/2023 10:38,FALSE,Denver Walking,0.47,38,09:56.5,115,124,111,133,21:01,13:34,13,--,0.69,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,09:56.5,1,0,--,--,--,--,--,0:09:06,09:56.5,"5,221","5,240"
Walking,3/25/2023 19:26,FALSE,Denver Walking,0.62,75,0:22:53,105,135,51,152,36:54:00,14:22,16,10,0.86,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,22:53.1,1,0,--,--,--,--,--,0:11:34,0:22:53,"5,227","5,245"
Walking,3/25/2023 17:44,FALSE,Denver Walking,0.71,54,0:13:16,118,130,108,137,18:37,12:02,722,33,0.8,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:16.2,1,0,--,--,--,--,--,0:11:55,0:13:16,"5,895","5,952"
Walking,3/25/2023 16:38,FALSE,Denver Walking,0.86,59,0:18:09,106,137,28,135,21:11,2:04,66,59,2.69,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,18:09.2,1,0,--,--,--,--,--,0:07:24,0:18:09,"5,175","5,213"
Walking,3/25/2023 13:14,FALSE,Denver Walking,0.5,45,0:10:22,125,139,115,132,20:36,14:49,23,--,0.68,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:22.3,1,0,--,--,--,--,--,0:10:03,0:10:22,"5,221","5,255"
Walking,3/24/2023 17:30,FALSE,Denver Walking,2.45,191,0:48:15,118,132,109,176,19:41,13:08,43,26,0.75,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,09:07.5,3,0,--,--,--,--,--,0:44:36,0:48:15,"5,227","5,272"
Walking,3/24/2023 15:07,FALSE,Denver Walking,0.46,38,09:28.9,124,137,109,131,20:43,16:37,--,13,0.71,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,09:28.9,1,0,--,--,--,--,--,0:08:33,09:28.9,"5,227","5,240"
Walking,3/24/2023 13:26,FALSE,Denver Walking,1.06,84,0:22:18,120,132,100,128,21:04,7:53,30,--,0.76,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,02:01.2,2,0,--,--,--,--,--,0:19:52,0:22:18,"5,206","5,247"
Walking,3/24/2023 13:03,FALSE,Denver Walking,0.43,41,0:11:25,111,124,86,131,26:41:00,15:27,7,--,0.7,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,11:24.9,1,0,--,--,--,--,--,0:09:13,0:11:25,"5,200","5,215"
Walking,3/24/2023 10:00,FALSE,Denver Walking,0.48,48,0:10:18,128,145,107,173,21:37,13:30,20,--,0.69,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,10:18.5,1,0,--,--,--,--,--,0:08:52,0:10:18,"5,223","5,251"
Walking,3/23/2023 18:44,FALSE,Denver Walking,0.82,67,0:16:54,124,147,76,130,20:40,6:22,23,85,1.02,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:53.8,1,0,--,--,--,--,--,0:16:03,0:16:54,"5,217","5,242"
Walking,3/23/2023 11:51,FALSE,Denver Walking,0.77,96,0:30:58,107,129,55,136,40:13:00,15:53,33,7,0.73,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,30:57.9,1,0,--,--,--,--,--,0:16:43,0:30:58,"5,224","5,253"
Walking,3/23/2023 11:13,FALSE,Denver Walking,0.84,76,0:18:14,117,142,72,138,21:48,2:03,220,23,1.02,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,18:13.8,1,0,--,--,--,--,--,0:12:47,0:18:14,"5,411","5,482"
Walking,3/23/2023 9:38,FALSE,Denver Walking,0.67,59,0:13:38,117,144,78,138,20:25,13:49,69,--,1.01,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,13:38.2,1,0,--,--,--,--,--,0:11:27,0:13:38,"5,233","5,302"
