Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,8/6/2023 11:29,FALSE,San Francisco Walking,0.78,67,0:16:06,123,148,72,133,20:46,14:36,46,--,1.08,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,16:06.2,1,0,--,--,--,--,--,0:14:46,0:16:06,22,75
Treadmill Running,8/1/2023 16:38,FALSE,Run,3.51,266,0:30:00,179,191,173,182,8:32,7:25,--,--,1.09,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:00.0,5,0,--,--,--,--,--,0:30:00,0:30:00,--,--
Walking,8/1/2023 12:21,FALSE,Walking,0.79,84,0:20:14,121,140,108,243,25:46:00,12:05,--,--,0.58,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,20:13.9,1,0,--,--,--,--,--,0:18:08,0:20:14,--,--
Strength Training,7/29/2023 16:08,FALSE,Strength,0,65,08:45.3,151,159,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,11,1,0:00,0,0:00,No,08:45.3,1,0,--,--,--,--,--,08:45.3,08:45.3,--,--
Treadmill Running,7/29/2023 15:21,FALSE,Run,2.97,224,0:25:00,179,193,174,182,8:26,7:17,--,--,1.09,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:00.0,4,0,--,--,--,--,--,0:25:00,0:25:00,--,--
Walking,7/28/2023 21:34,FALSE,Walking,1.86,179,0:42:08,116,126,118,250,22:36,9:06,--,--,0.6,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,19:11.8,2,0,--,--,--,--,--,0:39:16,0:42:08,--,--
Treadmill Running,7/27/2023 22:28,FALSE,Run,3.6,258,0:30:00,175,192,175,182,8:20,7:26,--,--,1.1,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:00.0,5,0,--,--,--,--,--,0:30:00,0:30:00,--,--
Walking,7/26/2023 23:03,FALSE,Walking,0.62,109,0:33:26,99,110,79,124,53:32:00,20:59,--,--,0.38,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,33:25.9,1,0,--,--,--,--,--,0:19:42,0:33:26,--,--
Walking,7/26/2023 15:44,FALSE,Comal County Walking,0.04,3,01:01.8,107,111,66,103,23:24,17:58,--,--,1.04,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,01:01.8,1,0,--,--,--,--,--,0:01:01,01:01.8,974,977
Treadmill Running,7/25/2023 21:27,FALSE,Run,2.9,220,0:25:00,178,194,174,234,8:38,7:37,--,--,1.07,0,0,0,0,0,0,0,0,0,0,0,--,0:00,0,0:00,No,05:00.0,4,0,--,--,--,--,--,0:24:52,0:25:00,--,--
